"ObservationDate","Country_Region","Province_State","Confirmed","Deaths","Recovered","Active"
2020-10-27,"Armenia",NA,80410,1222,51814,27374
2020-10-27,"Azerbaijan",NA,51149,688,41693,8768
2020-10-27,"Cyprus",NA,3817,25,1882,1910
2020-10-27,"Georgia",NA,32127,238,12632,19257
2020-10-27,"Kazakhstan",NA,110832,1825,105883,3124
2020-10-27,"Kosovo",NA,17943,663,15083,2197
2020-10-27,"Turkey",NA,366208,9950,317519,38739
2020-10-28,"Armenia",NA,82651,1243,52508,28900
2020-10-28,"Azerbaijan",NA,52137,699,42033,9405
2020-10-28,"Cyprus",NA,3930,25,1882,2023
2020-10-28,"Georgia",NA,33858,253,14829,18776
2020-10-28,"Kazakhstan",NA,111100,1825,106059,3216
2020-10-28,"Kosovo",NA,18626,673,15290,2663
2020-10-28,"Turkey",NA,368513,10027,319181,39305
2020-10-29,"Armenia",NA,85034,1272,53257,30505
2020-10-29,"Azerbaijan",NA,53152,708,42516,9928
2020-10-29,"Cyprus",NA,4051,25,1882,2144
2020-10-29,"Georgia",NA,35567,273,16904,18390
2020-10-29,"Kazakhstan",NA,111492,1825,106187,3480
2020-10-29,"Kosovo",NA,18626,673,15290,2663
2020-10-29,"Turkey",NA,370832,10099,320762,39971
2020-10-30,"Armenia",NA,87432,1300,54316,31816
2020-10-30,"Azerbaijan",NA,54174,718,42996,10460
2020-10-30,"Cyprus",NA,4217,25,1882,2310
2020-10-30,"Georgia",NA,37263,285,19810,17168
2020-10-30,"Kazakhstan",NA,111953,1825,106310,3818
2020-10-30,"Kosovo",NA,19328,678,15429,3221
2020-10-30,"Turkey",NA,373154,10177,322465,40512
2020-10-31,"Armenia",NA,89813,1341,55317,33155
2020-10-31,"Azerbaijan",NA,55269,730,43543,10996
2020-10-31,"Cyprus",NA,4366,26,1882,2458
2020-10-31,"Georgia",NA,38936,307,22691,15938
2020-10-31,"Kazakhstan",NA,112418,1825,106400,4193
2020-10-31,"Kosovo",NA,19328,678,15429,3221
2020-10-31,"Turkey",NA,375367,10252,323971,41144
2020-11-01,"Armenia",NA,92254,1363,55827,35064
2020-11-01,"Azerbaijan",NA,56444,740,44157,11547
2020-11-01,"Cyprus",NA,4563,26,1882,2655
2020-11-01,"Georgia",NA,40727,335,25104,15288
2020-11-01,"Kazakhstan",NA,112860,1825,106514,4521
2020-11-01,"Kosovo",NA,19328,678,15429,3221
2020-11-01,"Turkey",NA,377473,10326,325486,41661
2020-11-02,"Armenia",NA,93448,1391,56466,35591
2020-11-02,"Azerbaijan",NA,57040,753,44479,11808
2020-11-02,"Cyprus",NA,4760,27,1882,2851
2020-11-02,"Georgia",NA,42579,342,26800,15437
2020-11-02,"Kazakhstan",NA,113309,1857,106716,4736
2020-11-02,"Kosovo",NA,20179,688,15611,3880
2020-11-02,"Turkey",NA,379775,10402,327007,42366
2020-11-03,"Armenia",NA,94776,1413,57599,35764
2020-11-03,"Azerbaijan",NA,58282,768,45030,12484
2020-11-03,"Cyprus",NA,4934,27,1882,3025
2020-11-03,"Georgia",NA,44522,362,28633,15527
2020-11-03,"Kazakhstan",NA,113741,1857,106893,4991
2020-11-03,"Kosovo",NA,20999,705,15722,4572
2020-11-03,"Turkey",NA,382118,10481,328824,42813
2020-11-04,"Armenia",NA,97150,1448,58811,36891
2020-11-04,"Azerbaijan",NA,59509,780,45697,13032
2020-11-04,"Cyprus",NA,5100,27,1882,3191
2020-11-04,"Georgia",NA,46817,381,31170,15266
2020-11-04,"Kazakhstan",NA,114235,1857,107139,5239
2020-11-04,"Kosovo",NA,21545,714,15829,5002
2020-11-04,"Turkey",NA,384509,10558,330665,43286
2020-11-05,"Armenia",NA,99563,1476,60135,37952
2020-11-05,"Azerbaijan",NA,60873,794,46465,13614
2020-11-05,"Cyprus",NA,5333,27,1882,3424
2020-11-05,"Georgia",NA,49218,401,33459,15358
2020-11-05,"Kazakhstan",NA,114826,1857,107339,5630
2020-11-05,"Kosovo",NA,22206,720,15921,5565
2020-11-05,"Turkey",NA,386820,10639,332379,43802
2020-11-06,"Armenia",NA,101773,1506,61782,38485
2020-11-06,"Azerbaijan",NA,62338,811,47270,14257
2020-11-06,"Cyprus",NA,5557,27,1882,3648
2020-11-06,"Georgia",NA,51993,423,37019,14551
2020-11-06,"Kazakhstan",NA,115439,1857,107530,6052
2020-11-06,"Kosovo",NA,22934,732,15981,6221
2020-11-06,"Turkey",NA,389256,10722,334293,44241
2020-11-07,"Armenia",NA,104249,1533,63258,39458
2020-11-07,"Azerbaijan",NA,63748,824,48049,14875
2020-11-07,"Cyprus",NA,5871,35,1882,3954
2020-11-07,"Georgia",NA,54852,441,39773,14638
2020-11-07,"Kazakhstan",NA,116162,1857,107668,6637
2020-11-07,"Kosovo",NA,22934,732,15981,6221
2020-11-07,"Turkey",NA,391739,10803,336221,44715
2020-11-08,"Armenia",NA,106424,1559,64179,40686
2020-11-08,"Azerbaijan",NA,65411,840,48908,15663
2020-11-08,"Cyprus",NA,5987,28,1882,4077
2020-11-08,"Georgia",NA,57753,475,42572,14706
2020-11-08,"Kazakhstan",NA,116772,1857,107843,7072
2020-11-08,"Kosovo",NA,22934,732,15981,6221
2020-11-08,"Turkey",NA,394255,10887,338239,45129
2020-11-09,"Armenia",NA,107466,1580,64910,40976
2020-11-09,"Azerbaijan",NA,66046,852,49411,15783
2020-11-09,"Cyprus",NA,6098,28,1882,4188
2020-11-09,"Georgia",NA,60680,499,45042,15139
2020-11-09,"Kazakhstan",NA,117336,1857,108169,7310
2020-11-09,"Kosovo",NA,24792,768,16226,7798
2020-11-09,"Turkey",NA,396831,10972,340286,45573
2020-11-10,"Armenia",NA,108687,1609,66835,40243
2020-11-10,"Azerbaijan",NA,67392,867,50009,16516
2020-11-10,"Cyprus",NA,6296,29,1882,4385
2020-11-10,"Georgia",NA,63650,521,47390,15739
2020-11-10,"Kazakhstan",NA,117904,1857,108387,7660
2020-11-10,"Kosovo",NA,25388,773,16362,8253
2020-11-10,"Turkey",NA,399360,11059,342501,45800
2020-11-11,"Armenia",NA,110548,1636,68336,40576
2020-11-11,"Azerbaijan",NA,68594,885,51007,16702
2020-11-11,"Cyprus",NA,6461,33,1882,4546
2020-11-11,"Georgia",NA,66561,566,49811,16184
2020-11-11,"Kazakhstan",NA,118491,1899,108632,7960
2020-11-11,"Kosovo",NA,26121,777,16499,8845
2020-11-11,"Turkey",NA,402053,11145,344613,46295
2020-11-12,"Armenia",NA,112680,1668,70130,40882
2020-11-12,"Azerbaijan",NA,70216,905,51986,17325
2020-11-12,"Cyprus",NA,6646,34,1882,4730
2020-11-12,"Georgia",NA,69681,599,52169,16913
2020-11-12,"Kazakhstan",NA,119129,1899,108958,8272
2020-11-12,"Kosovo",NA,26888,785,16685,9418
2020-11-12,"Turkey",NA,404894,11233,346794,46867
2020-11-13,"Armenia",NA,114383,1697,72116,40570
2020-11-13,"Azerbaijan",NA,71580,927,53001,17652
2020-11-13,"Cyprus",NA,6853,38,2021,4794
2020-11-13,"Georgia",NA,73154,636,55511,17007
2020-11-13,"Kazakhstan",NA,119833,1899,109275,8659
2020-11-13,"Kosovo",NA,27851,798,16862,10191
2020-11-13,"Turkey",NA,407939,11326,348804,47809
2020-11-14,"Armenia",NA,115855,1738,74105,40012
2020-11-14,"Azerbaijan",NA,73429,946,54049,18434
2020-11-14,"Cyprus",NA,7051,39,2021,4991
2020-11-14,"Georgia",NA,76658,669,58674,17315
2020-11-14,"Kazakhstan",NA,120463,1899,109643,8921
2020-11-14,"Kosovo",NA,27851,798,16862,10191
